Cantidad,Cantidad acumulada
1,1
0,1
0,1
6,7
1,8
2,10
6,16
2,18
4,22
10,32
6,38
7,45
11,56
10,66
18,84
29,113
22,135
30,165
62,227
54,281
31,312
106,418
114,532
110,642
81,723
68,791
111,902
84,986
90,1076
119,1195
142,1337
102,1439
101,1540
71,1611
104,1715
75,1790
101,1891
96,1987
129,2116
69,2185
67,2252
92,2344
125,2469
128,2597
104,2701
87,2788
122,2910
60,2970
94,3064
160,3224
117,3341
137,3478
185,3663
163,3826
87,3913
126,4039
124,4163
147,4310
135,4445
140,4585
102,4687
103,4790
119,4909
182,5091
198,5289
236,5525
202,5727
250,5977
199,6176
263,6439
288,6727
324,7051
304,7355
396,7751
339,8090
240,8330
390,8720
527,9247
612,9859
744,10603
808,11411
611,12022
503,12525
548,13073
644,13717
714,14431
764,15195
837,16032
687,16719
542,17261
841,18102
922,19024
928,19952
869,20821
961,21782
1094,22876
572,23448
1037,24485
1346,25831
1324,27155
1531,28686
1613,30299
1480,31779
1022,32801
1272,34073
1586,35659
1720,37379
1486,38865
692,39557
